question_id,question,opa,opb,opc,opd,ans
4141,AFP is a marker is tumor marker for -,Hepatocellular carcinoma,Prostate carcinoma,Renal cell carcinoma,Colon carcinoma,0
4142,Myelofibrosis leading to a dry tap on bone marrow aspiration is seen with which of the following condition -,Burkitt's lymphoma,Acute erythroleukemia,Acute megakaryocytic leukemia,Acute myelomonocytic leukemia,2
4143,Barbiturate ingestion is associated with hyperophy of which cellular organelle?,Mitochondria,Endoplasmic reticulum,Golgi apparatus,Nucleolus,1
4144,Prolonged parasitism in malaria is due to ?,Antigenic variation,Intracellularity of parasite,Immunosuppression,Sequestration,1
4145,Type of necrosis occuring in brain-,Coagulative,Liquefactive,Fibrinoid,Caseous,1
4146,"Oral ulcers which occurs in groups, persist for about 6 weeks and leave scars on healing are:",Recurrent aphthous major,Recurrent aphthous minor,Recurrent herpetiform ulcers,Acute herpetic gingivostomatitis,0
4147,Laminin is present in:(1998),Lens,Basement membrane,Liver,Lungs,1
4148,"After how many days of radiotherapy, mucositis appear:",7 days.,10 days.,14 days.,30 days.,2
4149,In which of the following Arbiskov cells are seen ?,Myelodysplastic syndrome,Multiple myeloma,Granulocytic sarcoma,Leukemia cutis,2
4150,"Well circumscribed, flat lesions that are inflammed or pigmented is known as:",Papule.,Macule.,Bullae.,Pustule.,1
4151,Which s not seen in MEN I,Parathyroid adenoma,Pancreatic cancer,Prolactinoma,Medullary carcinoma thyroid,3
4152,The accepted nomenclature of amyloidosis is AX. What stands for A and X:,A-Amyloid X protein in the fibril,A- Amyloid X- beta pleated structure,A-Amyloid X- helical structure,A- Amyloid X -birefringent,0
4153,Herringbone pattern on histology is seen in which tumor,Fibrosarcoma,Lipoma,Carcinoma,Liposarcoma,0
4154,"A 50 year old male patient complains of pain in back and legs. On routine investigations, it is found that he is anemic and his ESR is also raised. Which of the following is the most probable diagnosis for this patient?",Sickle cell anemia,Polycythemia,Waldenstrom macroglobulinemia,Multiple myeloma,3
4155,Eosinophilia in necrosed tissue is due to -,Coagulation of proteins,Denaturation of enzymes,Denaturation of protein,Mitochondrial damage,2
4156,"A leukemic patient develops disseminated intravascular coagulation. Examination of the marrow reveals hypergranular promyelocytes, some of which contain multiple Auer rods. The diagnosis of acute promyelocytic leukemia is made. Which of the following translocations is associated with the development of this disorder?",t (4;11),t (6;9),t (8;14),t (15;17),3
4157,The antibody which is associated with decreased risk for nephritis in SLE is:,Anti-RNP,Anti-Sm,Anti-Ro,Antihistone,2
4158,"What does ""cardiac polyp"" means ?",Acute infarct,Cardiac aneurysm,Benign tumour,Fibrinous clot,3
4159,Interleukin 2 is produced by,T helper cells 2,Natural killer cells,T helper cells 1,Basophils,2
4160,What is the mechanism of acute rheumatic fever ?,Cross reactivity with endogenous antigen,Innocent by slender effect,Due to toxin secretion by streptococci,Release of pyrogenic cytokines,0
4161,Russel bodies are seen in?,Multiple Myeloma,Rabies,Parkinsonism,Intracranial neoplasm,0
4162,Commonest cause of Cerebral Infarction is:,Aerial thrombosis,Aeritis,Venous thrombosis,Lymphangitis,0
4163,Birbeck's granule is seen?,Granulomatous vasculitis,Histocytic necrotizing lymphadenitis,Langerhans cells histocytosis,Multiple myeloma,2
4164,An example for non-dividing/Permanent cell is,Hepatocyte,Lymphocyte,Respiratory epithelium,Neuron,3
4165,Commonest risk factor for HCV infection is:,i.v. drug abuse,Multiple sex paners,Surgery within last 6 months,Multiple contacts with HCV infected person,0
4166,Which of the following play the most impoant role in pathogenesis of Rheumatoid Ahritis,CD4+ T cells,CD8+ T cells,B cells,Granulocytes,0
4167,Malignant potentilal is least with which of the following gastrointestinal neuroendocrine tumor:,Insulinoma,Glucagonoma,VIPoma,Somatostatinoma,0
4168,A 38-year-old man presented with episodes of severe headache. CNS imaging shows evidence of coical sinus venous thrombosis (CSVT). His mother has history of spontaneous recurrent DVT of bilateral lower limbs. Which of the following testing is the least likely to be indicated in this patient?,Antiphospholipid antibodies,Factor V Leiden mutation,Plasma homocysteine level,Plasma antithrombin level,0
4169,"In IgA nephropathy (Berger's disease), there are ?",Subepithelial deposits,Subendothel i al deposits,Mesangial deposits,Basement membrane deposits,2
4170,"A 30 years old female, RBC Counts 4.5 million, MCV 55 fl, Tc 8000, no history of blood transfusion?",Iron deficiency,Thalassemia major,Thalassemia minor,Megaloblastic anemia,2
4171,Serum alkaline phosphate is not rased in -,Primary biliary cirrhosis,Hyperparathyoidism,Multiple myeloma,Hepatitis,2
4172,What are Heart failure cells,Lipofuscin containing cardiac myocytes,Pigmented alveolar macrophages,Swollen cells in liver,Pale cells in pancreatic acini.,1
4173,Mesothelioma is -,Benign,Rarely malignant,Mostly malignant,Always malignant,2
4174,What is the most common histological type of nephritis seen in systemic lupus erythematosus (SLE)-,Mesangial,Focal proliferative,Diffuse proliferative,Membranous,2
4175,Linitis plastica is ?,Disease resembling lichen planus,Benign lesion of the stomach,Diffuse gastric carcinoma,Inflammation of stomach resembling acute gastritis,2
4176,"With regard to the malignant behavior of leimyosarcoma, the most impoant criterion is:",Blood vessel penetration by tumor cells,Tumor cells in lymphatic channels,Lymphocyte infiltration,The number of mitoses per high power field,3
4177,The tumour marker for Granulosa cell tumour is:,Inhibin,CA 19-9,CA 15-3,CA 125,0
4178,A super-antigen is a bacterial product that,Binds to B7 and CD28 co-stimulatory molecules,Binds to the beta chain of TCR and MHC class II molecules of APC stimulating T cell activation,Binds to the CD4 + molecule causing T cell activation,Is presented by macrophages to a larger-than-normal number of T helper CD4 + lymphocytes,1
4179,Green discoloration on the surface of teeth is due to,Porphyra,Internal resorption,Nasmynth membrane,Silver,2
4180,In a-thalassemia with -,Excess a-chain,No a-chain,Excess b-chain,No b-chain,1
4181,Antibodies in ITP are ?,IgG,IgM,IgE,IgD,0
4182,The most common fixative used in pathology is?,Gluteraldehyde,Alcohol,Formaldehyde,Picric acid,2
4183,Which of the following shows breast necrosis and calcification?,Comedo sub type of DCIS,Cribfiform sub type of DCIS,Colloid carcinoma,Lobular carcinoma in situ,0
4184,CD 95 is a marker of -,Intrinsic pathway of apoptosis,Extrinsic pathway of apoptosis,Monocyte,Leucocyte,1
4185,Sentinel node biopsy for Ca breast is for,Early diagnosis of cancer,For staging the tumours,Frozen section,Occult disease detection,1
4186,"A patient undergoes total thyroidectomy for a mass lesion of the thyroid. During the surgery, the surgeon notes that the parathyroid glands appeared enlarged. The thyroid lesion shows neuroendocrine-type cells and amyloid deposition. This patient's thyroid and parathyroid lesions may be related to which of the following oncogenes?",bcl-2,C-myc,erb-B2,ret,3
4187,Inflammatory cell that will be seen after 2 days of acute appendicitis is,Neutrophil,Eosinophil,Monocyte,Lymphocyte,2
4188,Which of the following tumor causes polycythemia due to increased erythropoietin production?,Cerebellar hemangioblastoma,Medulloblastoma,Ependymoma,Oligodendroglioma,0
4189,What is present in the part of the bone which received radiotherapy -,Response to radiotherapy is good,Fast healing,More destruction of bone,Tumour regression is not affected,2
4190,More than 90% patients of CREST syndrome with the limited cutaneous form of this disorder make which of the following autoantibodies?,Anti-centromere,Anti-DNA topoisomerase l,Anti-double-stranded DNA,Anti-Golgi,0
4191,Gemination of teeth occur due to,Division of a single tooth bud after calcification,Division of a single tooth bud before calcification,Fusion of two teeth before calcification,Fusion of two teeth after calcification,1
4192,A female presents with history of progressive breathlessness. Histology shows heterogenous patchy fibrosis with several fibroblastic foci. The most likely diagnosis is:,Cryptogenic Organizing Pneumonia,Non Specific Interstitial pneumonia,Usual Interstitial Pneumonia,Desquamative Interstitial Pneumonia,2
4193,Acute cellular rejection following solid organ transplantation occurs-,Within minutes to hours of transplantation,Within 48 hours of transplantation,Between 5 and 30 days of transplantation,Beyound 30 days after transplantation,2
4194,Commonest site of carcinoma of tongue,Posterior one third,Ventral surface,Tip of tongue,Lateral margin,3
4195,In acute inflammation pain is mediated by ?,Serotonin,Histamine,Bradykinin,Cytokines,2
4196,Coeliac disease is commonly associated with which bullous dermatosis,Dermatitis herpetiformis,Erythema multiforme,Pemphigoid,Pemphigus vulgaris,0
4197,Which of the following oncogenes is a growth factor?,fos,myc,jun,sis,3
4198,"The ___________ is the innermost meningeal layer, clings tightly to the surface of the brain and spinal cord, following every fold.",Arachnoid mater,Pia mater,Dura mater,Tentorium cerebelli,1
4199,A patient presents with a severe form of atopic asthma. Which of the following changes would most likely be found in this patient's blood?,Basophilic leukocytosis,Eosinophilic leukocytosis,Lymphocytosis,Monocytosis,1
4200,Principle of Prussian blue stain:,Ferrous to ferricyanide,Ferrocyanide to ferroferric cyanide,Ferroferriccyanide to ferrocyanide,Ferrocyanide to ferricferrocyanide,1
4201,Decreased T cell immunity is a feature of -,Digeorge syndrome,Hyper lgM syndrome,Severe congenital neutropenia,Chronic granulomatous diseas,0
4202,Haemorrhagic infarct may be seen in -,Brain,Lung,Spleen,Hea,1
4203,While advancing there is increased chance of developing cancers. Tumorigenesis in aging is due to:,Telomerase reactivation,Telomerase inactivation,Increased apoptosis,Suppression of proto-oncogenes,0
4204,Condition which do not have granuloma?,TB,Sarcoidosis,Leprosy,Infarction,3
4205,Which of the following pattern of antibodies is seen most commonly?,"<img style=""max-width: 100%"" src="" />","<img style=""max-width: 100%"" src="" />","<img style=""max-width: 100%"" src="" />","<img style=""max-width: 100%"" src="" />",0
4206,Life-span of Neutrophil -,15 days,6 hours,6 days,10 days,1
4207,Predisposing factors for Esophagus Ca-a)  Tylosisb)  Achalasiac) Barrett's esophagus d)  Scleroderma,ab,bc,abc,bcd,2
4208,Which of the following is an example of Labile tissue?,Transitional epithelium of the urinary tract,Parenchyma of most solid organs,Neurons,Skeletal muscles,0
4209,The biphasic pattern on histology is seen in which tumor-,Rhabdomyosarcoma,Synovial cell sarcoma,Osteosarcoma,Neurofibroma,1
4210,The commonest cause of Intra cerebral bleed-,Berry aneurysms,Hypertension,Diabetes,Thrombocytopenia,1
4211,Calcium dependant cell adhesion molecule is,Cadherin,ICAM-1,L-selectin,Integrin,0
4212,Which of the following is the indicator for body iron stores?,Ferretin,Transferrin,TIBC,Serumiron levels,0
4213,"A 65-year-old woman has noticed a slowly enlarging nodule on her face for the past 3 years. On physical examination, a 3-cm, nontender, mobile, discrete mass is palpable on the left side of the face, anterior to the ear and just superior to the mandible. The mass is completely excised, and histologic examination shows ductal epithelial cells in a myxoid stroma containing islands of chondroid like tissue and bone. This patient is most likely to have which of the following neoplasms?",Acinic cell tumor,Mucoepidermoid carcinoma,Pleomorphic adenoma,Primitive neuroectodermal tumor,2
4214,Which of the following pulmonary condition is associated with widespread formation of hyaline membranes in the alveolar cavities?,Asthma,Bacterial pneumonia,Desquamative interstitial pneumonitis,Diffuse alveolar damage,3
4215,The best prognosis in carcinoma stomach is with -,Superficial spreading type,Ulcerative type,Linitis plastica type,Polypoidal type,0
4216,"A patient is brought to the emergency depament following carbon monoxide poisoning. Hyperbaric oxygen was given, following which patient developed oxygen toxicity. What is the likely mechanism of the toxicity?",Direct DNA damage,Apoptosis,Nuclear fragmentation,Mediated by free radicals,3
4217,Tumour arising from crown of unerupted tooth is?,Periapical cyst,Odontogenic keratocyst,Dentigerous cyst,Ameloblastoma,2
4218,"If a patient has bilirubin 20 mg/dl, AST=313,, ALT=103 & GGT=44 IU/L. Most probable diagnosis is:",Viral hepatitis,Alcoholic hepatitis,Billiary atresia,Drugs,1
4219,Bleeding time is prolonged in -,Von Willebrand's disease,Christmas disease,Haemophilia,Polycythemia,0
4220,"A 55-year-old diabetic Raj from Mumbai has a long history of renal failure. He is currently waiting for an organ for transplant and has been on hemodialysis in the interim. If this man develops amyloid deposits around his joints, they are likely to be composed of which of the following substances?",Amyloid-associated protein,Amyloid light chains,Beta2 microglobulin,Calcitonin precursors,2
4221,Grossly pigmented liver is seen in .... syndrome,Crigler-Najjar,Gilberts,Dubin johnson,Rotor's,2
4222,Phantogeusia is,Perception of pain in absence of any recognized stimuli,Impairment of the sense of taste,Painful tongue,Painful pyrosis in absence of any recognized stimuli,0
4223,"A lady in the second trimester underwent a hemogram and her hemoglobin was found to be 6mg%. The gynaecologist suggested for IV transfusion of packed red cells to improve the level.

How much of iron is absorbed by transfusion of 2 units of packed red cells?",2gm,2mg,1gm,500mg,3
4224,Autopsy finding after 12 hrs in a case of death due to M.I. -,Caseous necrosis,Coagulative necrosis,Fat necrosis,Liquefactive necrosis,1
4225,"A 30-year-old man is evaluated for persistent cough, night sweats, low-grade fever, and general malaise. A chest X-ray reveals findings ""consistent with a Ghon complex."" Sputum cultures grow acid-fast bacilli. Examination of hilar lymph nodes in this patient would most likely demonstrate which of the following pathologic changes?",Caseous necrosis,Coagulative necrosis,Fat necrosis,Fibrinoid necrosis,0
4226,Rosenthal fibres are seen in which of the following tumor?,Pilocytic astrocytoma,Glioblastoma,Medulloblastoma,Ependymoma,0
4227,Cells responsible for basal cell carcinoma are ?,Melanocytes,Epidermal cells,Merkel's cells,Dermal cells,1
4228,Niemann-Pick disease is?,AR,AD,X-linked,Mitochondrial,0
4229,"A 24-year-old female presents with nonspecific symptoms including fever and malaise. A chest x-ray reveals enlarged hilar lymph nodes , while her serum calcium level is found to be elevated. Biopsies of the enlarged hilar lymph nodes would most likely reveal",Caseating granulomas,"Dense, granular, PAS-positive, eosinophilic material",Markedly enlarged epithelial cells with intranuclear inclusions,Noncaseating granulomas,3
4230,Acridine orange is a fluorescent dye used to bind -,DNA and RNA,Protein,Lipid,Carbohydrates,0
4231,Syndrome associated with thymic and parathyroid hypoplasia:,Prader Willi syndrome,Angelman syndrome,Di George syndrome,MENU,2
4232,The following condition is not associated with an Antiphospholipid syndrome -,Venous thrombosis,Recurrent foetal loss,Thrombocytosis,Neurological manifestations,2
4233,Which of the following is not seen in WV involvement of CNS -,Perivascular giant cell,Vacuolar degeneration of post column,Microglial nodule formation,Inclusion bodies,3
4234,"To which of the following family of chemical mediators of inflammation, the Lipoxins belong?",Kinin system,Cytokines,Chemokines,Arachidonic acid metabolites,3
4235,Auer rods represent a,Leukemic cells,Intercytoplasmic granules,Eosinophils,azurophilic granules,3
4236,Anti-histone antibodies are diagnostic of?,Drug induced LE,Systemic sclerosis,Mixed connective tissue disorder,Sicca syndrome,0
4237,"A patient has the following findings -splenomegaly, low RBC count, normal WBC, and platelet count and peripheral blood smear shows target cells. Repeated BM aspiration is unsuccessful. The probable diagnosis is -",Thalassemia,Chronic myeloid leukemia,Iron deficiency anaemia,Myelofibrosis,3
4238,"60 year old diabetic female presented with burning sensation to spicy food. Intraoral examination revealed multiple periodontal abscess and keratotic area in a lace pattern with occasional erosive areas inside the lace pattern.

Provisional diagnosis for this lady will be",Oral hairy Leukoplakia,Oral lichen planus,Oral squamous cell carcinoma,Oral pemphigus,1
4239,Gluten-sensitive enteropathy is most strongly associated with,HLA DQ2,HLA DR4,HLA DQ3,Blood group B,0
4240,Histopathological examination reveals the diagnosis as:,Ewing sarcoma,Kaposi Sarcoma,Hodgkin lymphoma,Burkitt lymphoma,2
4241,"A 20-year-old woman, G3, P2, has a screening ultrasound at 18 weeks' gestation that shows hydrops fetalis but no malformations. The woman's two previous pregnancies ended at term in live births. The current pregnancy results in a live birth at 36 weeks. Physical examination shows marked hydrops of the neonate and placenta. Laboratory studies show a cord blood hemoglobin level of 9.2 g/dL and total bilirubin concentration of 20.2 mg/dL. Which of the following laboratory findings is most likely to be present in this case?",Diminished glucocerebrosidase activity in fetal cells,Elevated maternal serum a-fetoprotein level,Positive Coombs test result on cord blood,Positive maternal hepatitis B surface antigen,2
4242,The execution phase of apoptosis which mediates the final phase of apoptosis is associated with which of the following caspase?,Caspase 9,Caspase 8,Caspase 3,Caspase 1,2
4243,Which of the following are slow reacting substances of anaphylaxis?,LTB4 and C4,LT A4 and B4,LT A4 and C4,LT C4 and D4,3
4244,Heat rupture is characterised by,Irregular margin,Clotted blood,Regular margin,Clotted blood vessels,3
4245,Not an autosomal dominant disorder-,Alkaptonurea,Hereditary spherocytosis,Osteogenesis imperfecta,Gardner syndrome,0
4246,Main cell responsible for scar contraction is:,Myofibroblast,Fibroblast,Epithelial cell,Elastin,0
4247,McEwen's triangle is a landmark for,Antral drain,Mastoid surgery,Submucous resection,Uncinectomies,1
4248,Inheritance pattern of myotonic dystrophy is ?,Autosomal recessive,Autosomal dominant,X linked dominant,X linked recessive,1
4249,"A 48-year-old woman complains she has had weakness, fatigue, and easy bruisability for 2 months. She had worked as a technician in a nuclear energy plant for 15 years and was involved in an accident during which she was exposed to considerable radiation. Physical examination reveals an enlarged liver and spleen. What disease should you suspect as a likely cause of her condition?",Chronic myelogenous leukemia,Hairy cell leukemia,Metastatic carcinoma of the breast,Metastatic carcinoma of the stomach,0
4250,Commonest carcinoma in elderly male is ?,Stomach,Lung,Esophagus,Prostate,3
4251,Most common sarcoma in a person receiving immunosuppressive treatment is -,Kaposi's sarcoma,Lymphoma sarcoma,Osteosarcoma,Angiosarcoma,0
4252,Sarcoma botryoides is mostly seen in -,Neonates,Children under 2 years,Adults,Post menopausal,1
4253,"Follicular dendritic cells, main function is -",Catches antigen and presents it to T cells,Catches antigen and presents it to B cells,Phagocytic activity,Produce immunoglobulins,1
4254,Which of the following is not component of acinus-,Pulmonary lobule,Respiratory bronchioles,Alveolar ducts,Alveolar sac,0
4255,Post MI 10th day which of the following enzyme level is raised,LDH,CPK,Troponin,Myoglobin,2
4256,Multiple myeloma is a tumor of?,B-lymphocyte,T-lymphocyte,Lymph nodes,Plasma cell,3
4257,Alpha thalassemia is due to ?,Alpha chain deficiency,Alpha chain excess,Beta chain deficienc,Beta chain excess,0
4258,Behcet disease HLA associated ?,B51,B27,DRQ,DDR4,0
4259,What is not associated with DIC -,Thrombocytopenia,Increased PT,Hyperfibrinogenemia,Increased FDP,2
4260,Not to be used in the treatment of thrombotic thrombocytopenic purpura (TTP)-,Coicosteroids,Immunotherapy,Plasmapheresis,Platelet transfusion,3
4261,Which of the follow ing lesion is characteristic of diabetic nephropathy?,Hyaline arteriosclerosis,Nodular glomerulosclerosis,Renal Amyloid deposits,Fibrinoid necrosis,1
4262,MHC class III genes encode,Complement component C3,Interleukin 2,Tumor necrosis factor,Beta 2 microglobulin,2
4263,Reversible loss of polarity with abnormality in size and shape of cells is known as -,Metaplasia,Dysplasia,Hyperplasia,Anaplasia,1
4264,Huhle cells are seen in:,Granulomatous thyroid disease,Hashimoto's thyroiditis,Papillary carcinoma of thyroid,Thyroglossal cyst,1
4265,Which of the following is not commonly associated with non-bacterial thrombotic endocarditis (NBTE)?,SLE,IV drug abuse,APLA syndrome,Mucinous adenocarcinoma,1
4266,Not a sequelae of cellular events in atherosclerotic infarction,Neutrophilic infiltration,Astrocytes,Ingress of macrophages,Intense eosinophilia,1
4267,Platelet are stored at what temperature,20-24oC,2-6oC,37oC,-2 to -4oC,0
4268,HbA2 concentration in thalassemia trait is -,1,1-2.5,2.5-3.5,>3.5,3
4269,"A 22-year-old man has features of arm span greater than height, subluxated lenses, flattened and dilation of the aortic most likely diagnosis is?",Ehlers-Danlos syndrome,Werner's syndrome,Laurence-Moon-Biedl syndrome,Marfan syndrome,3
4270,The approximate number of genes contained in the human genome is -,"40,000","30,000","80,000","1,00,000",1
4271,Which of the following markers are seen in Primary effusion lymphoma?,"CD30, CD138","CD20, CD28","CD19, CD20","CD29, CD30",0
4272,"Histologic examination of the lesion in stomach reveal fat-laiden cells, likely cause is :",Lymphoma,Postgastrectomy,Signet-cell carcinoma stomach,Atrophic gastritis,1
4273,A 63-year-old man becomes febrile and begins expectorating large amounts of mucopurulent sputum. Sputum cultures are positive for Gram-positive diplococci. Which of the following mediators of inflammation provides potent chemotactic factors for the directed migration of inflammatory cells into the alveolar air spaces of this patient?,Bradykinin,Histamine,Myeloperoxidase,N-formylated peptides,3
4274,Enlargement of lip occured with in seconds to 24 hours is,Angioedema,Mucocoele,Herpes,Fibroma,0
4275,What is deposited in Bronze diabetes,Bronze,Copper,Iron,Carbon,2
4276,Squamous papilloma is induced by,EBV,HSV,HPV,CMV,2
4277,Endoscopic biopsy from a case of H. pylori related duodenal ulcer is most likely to reveal:,Antral predominant gastritis,Multifocal atrophic gastritis,Acute erosive gastritis,Gastric atrophy,0
4278,Berry aneurysm most commonly occurs due to,Endothelial injury of vessel due to HTN,Muscle intimal elastic lamina layer defect,Endothelial layer defect,Adventitia defect,1
4279,Proliferation and survival of myeloma cells are dependent on which of the following cytokines?,IL-1,IL-6,IL-2,IL-5,1
4280,Epimembranous deposition is seen in,Membranous glomerulonephritis,FSGS,Minimal change disease,Membrano proliferative Glomerulonephritis,0
4281,"Lipofuscin, the golden yellow pigment is seen in hea muscle -",Hyperophy,Atrophy,Hyperplasia,Infarction,1
4282,"<img alt="""" src="" />MIC-2 is a marker of",Ewing's sarcoma,Osteosarcoma,Dermatofibrous protruberns,Alveolar cell sarcoma,0
4283,B-Thalessemia trait what is elevated? -,T HbF,T HbA2,Microcytosis,Severe anaemia,1
4284,The substance that accumulates in cardiac myxoma is -,Mucopolysaccharides,Sialomucin,Gelatin,Glycoprotein,0
4285,Hurthle cells seen in -,Papillary carcinoma,Hashimoto Thyroiditis,Granulomatous thyroiditis,Thyroglossai cyst,1
4286,Hydropic degeneration of the basal cell of the stratum germinativum is a feature of?,Leukoplakia,Lichen Planus,Syphilis,Pemphigus,1
4287,In apoptosis what is not seen,Cellular swelling,Nuclear compaction,Intact cell membrane,Cytoplasmic eosinophilia,0
4288,Vasodilatation secondary to trauma is mediated by?,Histamine,IL-2,TGF-b,FGF,0
4289,Periodic acid schiff stain shows Block positivity,Myeloblasts,Lymphoblasts,Monoblasts,Megakaryoblasts,1
4290,Which of the following occurs in chronic granulomatous disease?,Myeloperoxidase deficiency,Defective H2O2 production,Defective polymerization,Defective phagocytosis,1
4291,Metastatic calcification does not occurs in: March 2007,Fundal glands of intestine,Renal tubules,Lungs alveoli,Blood vessels,0
4292,Which one of the following disorders is due to maternal disomy of chromosome 15?,Prader -Willi syndrome,Angelman syndrome,Hydatidiform mole,Klinefelter's syndrome,0
4293,Which is a transcription factor?,RAS,MYC,FOS,GRAP,1
4294,Genomic imprinting is seen in-,Prader willi syndrome,Marfan syndrome,EDS,Osteogenesis imperfecta,0
4295,Histopathology showing large cells with plant like apperance with perinuclear halo is seen in which type of renal cell carcinoma ?,Onchocytoma,Granular cell carcinoma,Angiosarcoma,Chromophobic,3
4296,Histological finding in Reye&;s syndrome is,Budding and branching of mitochondria,Swelling of endoplasmic reticulum,Para nuclear micro dense deposits,Glycogen depletion,3
4297,Most demineralised zone in enamel caries,Translucent zone,Body of lession,Dark zone,Surface zone,1
4298,Organelle that plays a pivotal role in apoptosis ?,Endoplasmic reticulum,Golgi complex,Mitochondria,Nucleus,2
4299,Early age of sex is risk factor for,Carcinoma cervix,Carcinoma vulva,Carcinoma vagina,Carcinoma ovary,0
4300,Granulocyte transfusion is recommended when WBC count is below ?,2000/ul,1000/ul,500/ul,150/ul,2
4301,Tumor suppressor gene is not involved in -,Breast cancers,Neurofibromatosis,Multiple endocrine neoplasia,Retinoblastoma,2
4302,"A 60 yr old female with h/o 8 blood transfusions in 2 years. Her Hb-60g/L, TLC- 5800, platelet- 3.4 lakhs, MCV 60, RBC-2.1 lakhs/mm3. He is having hypochromic microcytic anemia. Which investigation is not needed?",Evaluation for pulmonary hemosiderosis,Urinary hemosiderin,Bone marrow examination,G I endoscopy,1
4303,"An 86-year-old man has become progressively unable to live independently for the past 10 years, and he now requires assistance with bathing, dressing, toileting, feeding, and transfers in and out of chairs and bed. On physical examination, he has no motor or sensory deficits. He cannot give the current date or state where he is. Six months later, he suddenly becomes comatose and dies. At autopsy, there is a large superficial left parietal lobe hemorrhage. Histologic examination of the brain shows numerous neocortical neuritic plaques and neurofibrillary tangles. The peripheral cerebral arteries and the core of each plaque stain positively with Congo red. Which of the following mechanisms is most likely responsible for his disease?",Aggregation of Ab peptide,Conformational change in the prion protein (PrP),Dopamine deficiency,Expansion of polyglutamine repeats,0
4304,Cryoprecipitate is useful in?,Hemophilia A,Thrombosthenia,A fibrogenemi a,Warfarin reversal,2
4305,Most common inheritance of retinitis pigmentosa is?,Sporadic,Autosomal dominant,Autosomal recessive,X-Iinked,0
4306,Cancerous involvement is seen with,Chancre,Mucous patch,Syphilitic glossitis,Gumma,2
4307,"A 66-year-old woman presents with a 6-month history of scaling and abnormal pigmentation of the skin. Her past medical history is significant for the treatment of thyroid cancer 1 year ago. Biopsy of lesional skin shows atrophy of the epidermis and dense fibrosis of the dermis, which displays dilated superficial blood vessels. These pathologic findings are most likely caused by previous exposure to which of the following?",Chemotherapy,Corticosteroids,Organic iodine,Radiation therapy,3
4308,"A 25-year-old machinist is injured by a metal sliver in his left hand. Over the next few days, the wounded area becomes reddened, tender, swollen and feels warm to the touch. Redness at the site of injury in this patient is caused primarily by which of the following mechanisms?",Hemorrhage,Hemostasis,Neutrophil margination,Vasodilation,3
4309,Causative particle in asbestosis is?,Amphibole,Crysolite,Tridymite,Gristobalite,0
4310,Which of the following condition is associated with increased VMA?,Rhabdomyosarcoma,Pheochromocytoma,Nephroblastoma,RCC,1
4311,"A 30-year-old man presents with a 3-week history of fatigue, occasional fever, yellow skin and sclerae, tenderness below the right costal margin, and dark urine. Physical examination reveals jaundice and mild hepatomegaly. Laboratory studies show elevated serum levels of bilirubin, decreased albumin, and prolonged prothrombin time. Serologic tests disclose antibodies to hepatitis C virus. Which of the following tests is the most accurate method for assessing the extent of liver disease in this patient?",Liver biopsy,Serum alkaline phosphatase,Serum ammonia,Serum immunoglobulins,0
4312,Bone marrow finding in AL amyloidosis is:,Monoclonal Gammopathy,Granulomatous reaction,Fibrosis,Giant cell formation,0
4313,Which one of the following occurs in ischemic cardiac tissue?,Increased ATP,Increased anaerobic glycolysis,Increased pH,Increased release of Calcium,1
4314,In Serotonin syndrome the most characteristic feature is,Sweating,Myoclonic jerks,Palpitation,Anxiety,1
4315,Cells are most radiosensitive in:,S-phase,M-phase,G1-phase,G0–phase,1
4316,Target fibres are characteristicaly seen in a muscle biopsy of-,Dermatomyositis,Motor neuron disease,Myaesthenia gravis,Drug induced myopathy,1
4317,TSG mutated in familial gastric ca,APC,CDKN2A,E-cadherin,PTEN,2
4318,Which of the following is an execution caspase,Caspase 3,Caspase 5,Caspase 8,Caspase 9,0
4319,DNA epairs defect associated with malignancy in -,Xeroderma pigmentosum,Icthyosis,Mosaicism,??,0
4320,Letterer-seiwe disease is a disturbance of,Protein metabolism,Histiocytic disorder,Mucopolysaccharide metabolism,Carbohydrate metabolism,1
4321,Progressive transformation of germinal centers (PTGC) is a precursor lesion of -,"Hodgkins lymphoma, nodular sclerosis","Hodgkins lymphoma, mixed cellularity","Hodgkins lymphoma, lymphocytic predominant",Peripheral T cell lymphoma,2
4322,Enamel hypo-calciﬁcation and hypo-maturation of tooth is seen in:,Osteogenesis imperfecta,Dentinogenesis imperfecta,Tricho-dento-osseous syndrome,Turner tooth,2
4323,Which is not seen in virus-induced tumour cells?,Loss of orientation,Loss of contact inhibition,Change in size of cells,Formation of micro tumour cells,2
4324,Osteomyelitis begins as an inflammation of,Cortical bone,Periosteum,Medullary bone,Periosteum and inner cortex,2
4325,Blood when stored at 4degC can be kept for-,7 days,14 days,21 days,28 days,2
4326,The given cell is activated by,IL-1,IL-2,IL-5,IL-6,2
4327,Characteristic histopathological finding in Shock lung,Diffuse alveolar neurosis,Interstitial pulmonary edema,Diffuse interstitial inflammation,Intra-alveolar debris,0
4328,Earliest complaint of OSMF patient is:,Blanching,Burning sensation,Restricted mouth opening,Shrunken uvula,1
4329,"Decrease in ""Alkaline phosphatise"" is seen in:",CML,Leukemoid reaction,Eosinophilia,Malaria,0
4330,t1/2 of haptoglobin complex is:,5 days,3 days,10 days,10 minutes,3
4331,The lesion shown below is caused by,HPV,HSV,HIV,EBV,0
